text,category
Люди не покупайте у этого продавца ничего он посылку мне так и не отправил а заказала я ее 3 месяца назад вот и деньги не вернул урод знайте этого продавца и ничего у него не заказывайте ,нет товара
"Размер  соответствует российскому 40-42, но хорошо тянется. Материал мягкий, приятный. Но на моей юбочке были дефекты-непрошитая строчка и дырочка. Правда продавец тут же вернул деньги. ",одежда
"ждала заказ 3 месяца,товар так и не пришел. доставка была платная,но трек не отслеживался вообще. деньги вернули полностью за 2 дня",нет товара
"заказ не пришел, деньги так и не вернули!!!!!",нет товара
"отличная жилетка.  брала размер м на параметры 88-67-92. внизу широковата,  не приталеная.  на карманах нет молний,  качество пошива отличное. доставка три недели,  трек отслеживался.  наполнение пухом нормальное.",одежда
"Отличные Ленинск. Яркие, мягкие. На мой 42 р-р и рост 165 см сели отлично, есть запас в длине",одежда
"Кофта на 3 размера меньше, по пуп, 100% синтетика!  2 звезды,  только за то, что вернули часть денег.",одежда
"качество ткани отвратительное, как стекло. воротник форму не держит вообще. не стоит даже этих денег.",одежда
"Ткань тонкая. Сложно одевать, не расстёгивается сбоку, а через голову сложно влезть. По длине мал. ",одежда
товар не получила. деньги не получила. полное кидалово.,нет товара
"голая синтетика, как на картинке не сидит, можно и 2 поставить, но сама знала, что за такую цену ничего хорошего не будет, поэтому ставлю ради продавца 5",одежда
Платье пришло. Хороший товар. Продавцу 5 звёзд.,одежда
товар так и не получен. но деньги продавец вернул очень быстро.,нет товара
"Доставка быстрая до Новосибирска ,ветровка отличная ,сшита хорошо по размеру подошла только рукава коротковаты мне ,придётся задирать как три четверти ,а так все отлично !Спасибо !",одежда
"Очень тугие резинки на чулках, пришлось стягивать их намного ниже, чем обычно должны носится , натянула чуть выше колен, чтобы не давило! Мой размер М, чулки наверное рассчитаны на s или даже на xs",одежда
"Инопланетянин плохой,шло месяц,не подошёл по размеру,взяла размер s,оказались большие рукава,и она делает вас квадратным,не советую,рисунок после стирки сотрется",одежда
"М на рост 157, объем рук 28 сидит хорошо правда руки чуть сковывает, длинный.
Сам по себе мягкий и красивый",одежда
прошло два месяца товара нет. Верните деньги,нет товара
"Размер М на бёдра 95 очень короткий, как трусы ",одежда
"На российский 46, взяла L и оказалась широковата.Ну на дачу пойдёт.Запаха нет.  Цвет рисунок всё ок. Тонкий, но тёплый. Немного торчат нитки, но не страшно",одежда
"Товар не соответствует описанию, ни по качеству, ни по размеру, ни по цвету",одежда
"пошла вся в пятнах,так ещё и по шву разрыв",одежда
"товар не соответствует тому,что на картинке",одежда
It doesn't look like on photo at all. Size is too small ,одежда
"Размер не соответствует, s как m, фасон странный, сама кофта широкая, спереди короткая, рукава длинные, носить не буду.",одежда
"товар не получен, но деньги возвращены. Продавец всегда на связи.",нет товара
Гавно,нет товара
"Подходят всем, и детям и взрослым)))",одежда
"Отличный джемпер, все как на фото. Рукава на рост 172 см в самый раз. Длина хорошая. Советую.",одежда
"Доставка очень быстрая,12 дней. На мой 52 размер, заказывала 4xl. Рукава короткие попу не закрывает, очень  тонкая. Карманы маленькие и капюшон тоже. Короче не соответствует картинке. Не стоит этих денег. ",одежда
"Продавец прислал товар с дефектами, денег не вернул - должна обратно отправить ",одежда
"супер
достаточно теплая, на позднюю осень
пойдет
В жизни выглядит лучше, чем на фото, и сидит отлично",одежда
"Продавец долго отправлял заказ. Футболка понравилась. Идёт в размер. Ношу S,   взяла М. Свободно в талии",одежда
"Хороший топ, подойдёт на русский 42-44, длина 52 см",одежда
Не соответствует описанию((,одежда
Шапку покупала ребёнку из за пампона (он чёрный)так вот он совсем не держится на шапке!!!продавцу написала об этом но он игнорит!,одежда
"Платье,    на картинке лучше,  чем на самом деле. Пошито разными нитками,  которые торчат.Кружево пришито криво.  У кого узкая талия,  надо ушивать.",одежда
"Товара нет пол года ,деньги не возвращают,может почта России тупит,но они сказали не знают где товар ",нет товара
заказать надо было на размер меньше,одежда
"замечательно, точно как в описании, очень симпатичный комплект",одежда
"Отличное качество, никакого запаха , ткань приятная к телу, по ощущениям как вискоза. Заказом очень довольна, трек отслеживался.",одежда
"Отличная рубашка! Заказывала маме - село хорошо. Материал приятный, фасон интересный.

Цвет как в объявлении (на фото смотрится более кирпичным из-за желтого освещения).",одежда
"заказала 6 цветов, забрали денег за 6 трусов 252рублей.а прибыли 1ш трусов.",одежда
"Заказ не получила, но деньги вернули",нет товара
"Леггинсы классные, хорошо тянутся. Брала два цвета. Очень довольна. Закажу еще в подарок. Спасибо продавцу!",одежда
"шапка маленькая, на ребенка",одежда
"чашечки плоские, сплющили грудь  не смотря на то что мой размер 75 с, 75D оказался мал! грудь вываливается, нагибаться тоже не удобно сразу грудь наружу!",одежда
Доставленные лосины не соответствуют заказанным. Невнимательность сотрудников ведёт к разочарованию покупателей!,одежда
"заказала 9.08, 23.08 уже пришло в Крым. описанию соответствует. очень милые. синтетика, но приятная и не пахнет:)",одежда
"Нормально, но на грудь 85д узковато ",одежда
"Носочки очень крутые, рисунок хороший, две полоски снизу приносят мне эстетическое наслаждение)) заказала 17 октября, пришли уже 5 ноября в Москву ",одежда
"доставка до Иркутской области чуть больше месяца. принёс курьер. качество просто супер. размер на мой 52-54 подошёл 5xl очень хорошо. запаха нет , хлопок ,швы ровные, нитки не торчат. костюм просто супер. длина брюк 7/8",одежда
"Брала мама 52 размер, отлично подошёл , претензии не имею .. в носке притенен и красив )) чёрный цвет хорошо смотрится )) спасибо продавцу ",одежда
Заказала с пришла очень большая ,одежда
доставка быстрая. отслеживаются,одежда
"Прекрасный костюм.Мягкий,уютный и очень тёплый!!на 88-67-90 и рост 170 подошёл прекрасно.стоит своих денег.рекомендую.спасибо продавцу за качественный товар и быструю доставку!!",одежда
"бюстгалтер с нитками, трусики хорошие. Доставка странная",одежда
"Не указан материал, сделано очень грубо, швы плохие, мне попался с дыркой на рукаве.",одежда
"Приятные к телу , мягкие , пришли за месяц в Новосибирскую область .",одежда
ткань неизвестная....очень тонкая....куда его носить даже незнаю....,одежда
"Качество хорошее. Но цвет не тот как на фото. Заказывала ментол, по факту просто темно зеленый.",одежда
Топик отличный. Принт супер качества и материал приятный на ощупь. Все как на картинке и в описании. Покупкой довольны.,одежда
"Заказ не пришёл, и деньги тоже ни кто не вернул!!! ",нет товара
"заказ не пришла.открыла спор, деньги вернули",нет товара
жесть...нитки весят чуть ли не до колен-единственный минус,одежда
Качество отличное. Всем советую продавца.,одежда
"футболка не соответствует картинке:(
что меня очень огорчило..
а так не плохая футболка",одежда
Для меня по длине это не платье к сожалению) ношу как пиджак) ,одежда
"очень милая юбочка,но блин на мой  рост(170) она короткая,но на лето сойдет ,спасибо продавцу",одежда
"Шикарное платье!!!!!!! Это моя лучшая  покупка! Кто сомневается, берите - не пожалеете! Я взяла М, на параметры: 88-70-92. село идеально. Доставка курьером, через месяц!",одежда
прибыло быстро. качество отличное. на 160 очень хорошо.  продавцы молодцы:)!,одежда
Отличные носочки. Все полностью соответствует фото. Продавец хорошо упаковал - каждая пара на плотной картонке. Очень советую!,одежда
платье не пришло и деньги не вернули!!!,нет товара
"Заказ пришёл очень быстро. Спасибо продавцу. Блузка смотрится хорошо, но вот на одном рукаве манжет не прострочен,дырка по шву, это минус за качество, заказала S размер, как бы не было мало. Примерка состоится, отзыв дополню.",одежда
"немного не подошел по размеру,а так качество нормальное",одежда
очень классные!,одежда
"по доставке все хорошо, размер подошел,на изделии отсутствует состав ткани это очень плохо, на ощуп много синтетики",одежда
"заказ так и не получила, алиэкспресс вернул деньги",нет товара
"Отличная блузка, за 320 руб, доставка примерно месяц, трек отслеживается, на рост 170, вес 56 брала М, как влитая. СПАСИБО ПРОДАВЦУ! ",одежда
лосины супер всегда у него буду заказывать рисунок четкий,одежда
"Очень плохое качество товара, плохо прошито,  местами отверстия. Еще и  размер другой прислали.",одежда
"По трек номеру посылка доставленна, но куда и как никто не в курсе.  Денег не вернуть.  Товара нет.",нет товара
"очень не довольна, это не платье а просто ужас!!! Не соответствует картинке.",одежда
"ужасный костюм,который ужасно маломерит,да и просвечивает",одежда
"Супер качество , трек отслеживается ! Рекомендую ",одежда
"Пришла куртка быстро, немного есть запах, а так в принципе довольна",одежда
Не аккуратно прошито,одежда
"Товар где то потерялся, открыл спор - вернули деньги",нет товара
"Очень!!! долгая отправка и долгая доставка!!! 2 месяца!!! Сам свитер красивого красного цвета, фасон пока непривычный, пахнет пылью, конечно, столько идти, запылился по дороге",одежда
на 50 размер в обтягон. а так нормально. с продавом не общалсь.,одежда
ношу размер s она для меня огромная.Вышевка проделана плохо.,одежда
очень тонкая шапка. думала будет потолще. но красивая. сидит на голове комфортно. и мне идёт.  в общем нормально. но шла очень долго.,одежда
"Принты, причем только с верхней стороны. Первые 3-4 раза лучше стирать в дали от другой одежды.",одежда
"трусики отличные,мягкие приятные к телу,размер соответствует таблице",одежда
сильный запах.  вид ношеный. рукова короткие.,одежда
"Цвет пришел не тот который заказывала, много торчащих ниток, на размер 40-42(XS) большой, сидит как мешок, общение с провод ужасно",одежда
"все как в описании,доставка быстрая, хороший материал.",одежда
"Ужасное качество ткани, штаны короткие , широкие внизу,  картина не соответствует  совершенно , не покупайте такой  ужас, ещё и воняет ужасно, даже дома носить не возможно, выкинула :(",одежда
синтетика галимаЯ. своих денег не стоит.,одежда
Быстро и в хорошем качестве,одежда
На рост 176 очень корткие. Как капри. Очень плохо,одежда
Доставка 15 дней. Заказываю уже второй комплект. Очень нравится))),одежда
Пришли с дырочкой !,одежда
плохой шов!!!!,одежда
заказ не соответствует описанию,одежда
"!!!ужасный товар!!! XXXL??!! точно нет!! маленькие, короткие, ткань просто ЖУТЬ! с неприятным химическим запахом и белесыми пятнышками посреди тёмно-синего в местах, где нет рисунка!!¿
НЕ рекомендую!",одежда
"приятный материал, на 46 размер брала xl - как раз. рисунок мельче, чем на фото.",одежда
"Заказ пришёл быстро, продавец на все вопросы ответил быстро. Был небольшой брак, но продавец вернул деньги. Ставлю пять звёзд.",одежда
"по качаству хорошая, но оказалась чутка короткой.",одежда
"получила заказ, размер не подошел, плюс пятно возле ворота( ожидала от заказа большего(",одежда
"Маленький размер, очень посредственное качество, неприятный запах.",одежда
брат с дыркой,одежда
"ожидала другого,с цветом все впорядке но вот сам фасон вообще не сидит и не подчеркивает фигуру ...как в мешке,ленты тоже кое как вставлены все рваные ....рукава короткие хотя рост у меня 164 ",одежда
"У свитера очень неприятный запах был. Ткань совсем лёгкая. Я не в восторге, может после стирки и лёгкой глажки будет выглядеть приличнее",одежда
"пришел товар быстро, но абсолютно не тот размер чашки огромные  заказала 80 А",одежда
"долго шел, нитки торчат",одежда
Too long. And a bit too tight in the chest.,одежда
"Очень классные джинсы ,  довольно плотные  и приятные к телу ,  посылка пришла менее чем за 3 недели , носить буду с удовольствием !

Спасибо!",одежда
"пришли быстро, правда брюки синтетические, хотела в них по жому ходить, но похоже буду ходить в них на тренеровку",одежда
огонь!,одежда
"Все круто. Сшито качественно, ничего не торчит и ткань очень приятная ",одежда
"Нормальная рубашка. Своих денег наверно не стоит, но ничего ужасного в ней нет. Нитки торчат, но сшито ровно. Не пахнет почти ",одежда
очень хорошая ветровка. качество просто супер. соответственно описанию.,одежда
"Кофточки очень хорошие, заказывала розовую и черную. Розовая чуть меньше и больше в обтяг, черная села идеально. А так на 42-44 обе хорошо подошли.",одежда
Качество матерьяла - фууу,одежда
"На фото выглядит лучше, чем есть на самом деле, на рост 170 коротковата",одежда
"На фото выглядит лучше, чем есть на самом деле, на рост 170 коротковата",одежда
Теплая куртка 3XL очень маленький размер.Такой же 2ХL намного больше.Как детский размер.Куртка очень маленькая.Не подошла.Жалко.Очень красивый цвет.,одежда
"заказ так и не пришел,спор одобрен,но деньги так и не вернули.",нет товара
товар не отслеживался и не пришел очень обидно !!!(((,нет товара
"Классная штука,пришла быстро ,прям в почтовый ящик",одежда
"Цвет не ровный, окрашено кусками. В области груди выдран клочок. Внизу тесемки  не в некоторых местах оторваны на половину. Не похоже на кожу. Очень короткая",одежда
"Жутко лезут волосы,все вокруг в этих волосах от кофты",одежда
хорошее качественное пальто. размерная сетка верная.  быстрая отправка и доставка.  Я очень довольна.  спасибо большое!,одежда
"Товар не пришёл, деньги вернули . ",нет товара
"качество самой ткани  хорошее, но уже после второй носки полез рукав и просто начал расходиться по шву , шов вообще никакой ,слабый, разлетелся разом, в самый неподходящий момент",одежда
"очень довольна заказом, даже не ожидала что она такая классная, мягенькая и приятная к телу. Доставка быстрая, меньше месяца. Спасибо продавцу.",одежда
"Товар не плохой, но много ниток торчит",одежда
"кофточка хорошая, но, к сожалению, рукав был порван. продавец аккуратно заштопал дырку, то шов все равно виден.",одежда
"Продавец не отправил товар и дал чужой трек. Недели 2 кормил обещаниями, что отправит, пока не открыла спор. Деньги вернул сразу!!!!!",нет товара
"бомбезная шапка,под спортивную одежду -класс,товар рекомендую,спасибо продавцу ✌и пришла за две недели,хотя я выбирала платную доставку,теперь закажу серую",одежда
"С И Н Т Е Т И К  А!  с большой буквы. искриться,потрескивает, ни грамма ,ни ниточки натурального в этой вещи, носить не возможно.",одежда
Жестко маломерит,одежда
"товар так и не пришел, по истечении 4 месяцев продавец не хотел возвращать деньги, пока не вмешался алиэкспресс",нет товара
вообще огромное. учесть я заказала L пришло на 5 размеров больше. и материал просто ужасен,одежда
"Очень хорошее качество, жене оч понравился комплектик, на размер 44, заказывали S,можно было и XS",одежда
"продавец что-то напутал с адресом.Половину пути трек отслеживания потом нет.очень долго отправлял.Вообщем заказывала на лето,но оно к сожалению прошло.....в целом цена-качество соответствует",нет товара
"посылка, пришла,  отслеживалась,  но свитер короткий только на худощавых, да ещё там дырка на спине!!!!  ну и как такое носить?? петли не спущенные а разрезанно полотно!!!",одежда
"заказ не пришел, но продавец сразу вернул деньги. Спасибо!",нет товара
"Товар не пришёл . Ждала ооооочень долго . Но в итоге попросила вернуть деньги . Вернули быстро, буквально на следующий день . ",нет товара
"Шло долго, нитки торчат везде, хотели носить осенью а уже зима...Так что до весны, там и затестируем.",одежда
"вид футболки хороший, но при примерке отвалилась сразу 2 кнопки.  хотя размер подошел идеально.",одежда
"Просвечивает сильно. По дороге потерялась на месяц, думала уже не придеь",одежда
"Рисунок неяркий, размер просто огромный. Одновременно у этого продавца заказала футболку того же размера - села хорошо.",одежда
"Всем довольна, вот только с размером не угадала. Так ношу 40-42 размер и заказала s, а платье маломерит( впритык вверху-руки и грудная клетка, а внизу все отлично( 82-63-86)",одежда
Заказывал размер М продавец тянул время с отправкой и наконец прислал размерXL да и ещё рукав рваный,одежда
"доставка больше месяца. Качество ужасное, лосины тонкие, просвечивают сильно! ",одежда
"Второй раз заказываю у этого продавца, первый раз все прошло замечательно, пришли быстро, хорошего качества.В этот раз не повезло, все в дырках, потертостях. Пришли быстро за 2 недели. Открыла спор вернули всю сумму.",одежда
"Прошито не аккуратно, на рукаве есть распущенные нитки.",одежда
"рост 172 нашу одежду 46-48 размера. Чулки подошли идеально. Мягкие,без запаха. Рекомендую.",одежда
"ЭТО БЕЗОБРАЗИЕ,ПОССЫЛКА НЕ ПРИШЛА,ПРОДАВЕЦ НЕ ОТВЕЧАЕТ,ДЕНЬГИ НЕ ВОЗВРАЩАЮТ,1 ВАМ.",нет товара
Спасибо за платье.Отличное. По размеру подошло.,одежда
Оказалась мала ,одежда
I really liked it!! Thank you so much!,одежда
"Блузка очень понравилась! Полностью соответствует фото. Брала на два размера больше. Немного свободная, но я так и хотела.",одежда
размер очень маленький не соответствует описанию,одежда
"Заказали размер  М на 46, оказалось мало. У них М как как у нас XS (42). Куртка для детей, нет выточки под грудь.",одежда
"На правой штанине дырка размером с пятирублевую монету, прям по средине , не по шву, бракованные штаны, очень расстроена ",одежда
"пришло быстро недели за три. чуть чуть маловато но в целом по размеру, xl было бы лучше. свой 46-48. внутри небольшые дырки",одежда
"Все путем, мягкая, теплая. Рекомендую!",одежда
"Во первых платье прозрачное,во вторых швы  кривые, в третьих  нитки висят везде на платье.",одежда
"товар не пришел, ждала около 100 дней. деньги вернули без проблем после открытия спора. 2 звезды за общительного продавца!",нет товара
сшито неаккуратно..,одежда
"Пришло быстро,но мне не понравилось качество,соединено непонятными нитками другого цвета,их видно.Еще намного короче чем на картинке,это тоже минус",одежда
"Доставка была курьером,что меня удивило,после его звонка установили время доставку.Когда я примерила пижаму,поняла,что отсутствует деталь кружева,что меня очень расстроило.",одежда
Рубашка хорошая ! Спасибо продавцу !,одежда
Заказ не получила и деньги не вернули!!,нет товара
"Футболка понравилась.Но я заказывала оранжевую,а прислали желтую...Что меня не совсем устраивает!!!Продавцу надо быть более внимательным при отправке заказов...Доставка две недели.",одежда
"Доставка в СПб примерно за месяц. Свитер идеально подошел по размеру. На рост 172 - хорошо в рукавах и по длине. Цвет красивый, нежный. Приятные на ощупь. Спасибо!",одежда
Всё супер я очень довольна.,нет товара
"Очень понравилась, качество лучше чем на фото! L на об 98 очень свободно, маечка тоже, не критично, но М тоже подошло бы)",одежда
"Очень расстроена продавец дал неправильные рекомендации по размерам.
На ОГ 108 берите XXXL.",одежда
"странно сшита.написано капюшон— его там и в помине нет,просто трубой",одежда
"Футболочка отличная!На нашивке были маленькие ниточки,но в целом кач-во хорошое ",одежда
Пошив изделия на троечку. Носила в мастерскую поправлять.. Открыла спор.. немного денег вернули...И просвечивает конечно. Но я брала под пиджак...,одежда
"Товар так и не получила, продавец вернул деньги",нет товара
"лосинки хорошие, внутри утеплены, тянутся хорошо, мягкие, удобные, на 68-98 и рост 172 брала ххл, сели отлично, но чуть коротковаты, доставка быстрая.",одежда
"Качество не очень. Кофта растянута, плечи не на месте. Ткань плохая и крупность вязки не видно, сама ткань очень тонкая. ",одежда
"и ткань и цвет, не соответствуют, на картинке темно коричневый, по факту рыжий практически, ткань не плотная((((",одежда
Супер)Очень приятное качество,одежда
очень тонкое платье. пошито как мешок и молния вшита очень некорректно с дырой. прикольный только цвет.,одежда
размер не соответствует описанию,одежда
"Платье неплохое,по размеру. Но на белой части пятна,которые ни чем не удалить.",одежда
"цвет, размер, качество оправдали ожидания...подкачала длина, к сожалению. При росте 165 см позволяю себе одеть кофту только с юбкой с завышенной талией. Коротковата...",одежда
"Заказала 30.07 получила 09.08. Качество хорошее, размер подошёл, доставка быстрая, запаха нет",одежда
"Посылка отслеживалась,пришла где то за 2 недели в Москву.Качество хорошее очень.Рекомендую!",одежда
"Была по размеру, после деликатной стирки, сселась.  Качество среднее, вообще в ней тепло.  Мне модель пошива не понравилась.",одежда
"ткань очень тонкая, просвечивает.
размер взяла М на 93-73-93 оказался сильно мал.",одежда
"За такую цену может и ничего, но качество изделия довольно среднее: ниточки торчат, зацепки. Доработать, погладить и норм",одежда
Спасибо.,нет товара
"товар не понравился пришел с браком на плече, с пятнами, с запахом. блузка не белая",одежда
"шел очень долго
на вид неплохой",одежда
"Рубашка супер,качество отличное! Продавец очень хороший быстро отправил заказ !На мои параметры ОГ 95,ОТ 84,ОБ 100 размер XL подошёл очень очень хорошо.Спасибо Вам большое.",одежда
"Очень очень сильно электризуется , прилипает к телу . ",одежда
Все соответствует описанию и фото.,одежда
"Хорошая рубашка из плотного хлопка. Все понравилось. Быстрая доставка, трек отслеживался",одежда
"До СПб дошел заказ за три недели.Очень порадовало,что курьер принес на дом.Сам свитшот/толстовка очень классный.Мех приятный,немного лезет,стирку выдержал.Избелие выглядит дорого.Буду носить с удовольствием!",одежда
"Самый худший мой заказ на Али,  размер S на русский 42 мал везде, в талии велико. Качество плохое, не тянет даже свою стоимость. Доставка очень долгая, 40 дней.",одежда
"Всё очень здорово! Лёгкая, воздушная, тонкая и плотная ткань высокого качества немного просвечивается даже через подъюбник. Заказала 16.06. Привезли 30.06. Выбирала размер S. Рост 165, вес 52 кг. Закажу ещё. Спасибо.",одежда
18 дней до Екатеринбурга.  заказала s на 44. подошло. резинка держит.  очень тонкая ткань. подсвечивает. только для домашней носки подойдут. наклейки уже отваливаются. качеством не довольна.,одежда
"УЖАСНЫЙ ПРОДАВЕЦ, КОФТА НЕ ПРИШЛА ТРЕК НЕ ОТСЛЕЖИВАЕТСЯ",нет товара
расцветка не та что я заказывала.,одежда
"Пришла совсем другая куртка, другая модель, цвет. Открыла спор вернули половину денег. Куртку придётся продать. Сильно велика и модель просто ужас. Не рекомендую. Продавец тянул время и морочил мозги. Я думаю пытался обмануть.",одежда
"на мой рост 173 немножко коротковаты, но!!! их бархатистость меня очень порадовала. Класс!!! очень хорошо тянуться.",одежда
К материалу куртки прилипает мелкий мусор. От меха ждала большего. Пришла облезлая шкура шакала.,одежда
"Платье по качеству не плохое, при росте 162 разрез почти на попе, длина до колен не доходит, цвет не соответствует картинке, пришёл светлее, не красивый цвет",одежда
"куртка фуфло, только на помойку, открыла спор, деньги не вернули",одежда
"Хорошая
, все понравилось, но заказывала дочери, ей  оказалась большой в плечах. Зато подошла мне) Со Сдеком была проблема, никак не могли доставить, неделю ждала и &в итоге  забрала сама.",одежда
Пришёл не тот цвет что на картинке.,одежда
"Топ короткий,ткань полностью просвечивает,ожидала что ткань будет немного другая. ",одежда
Горловина растянутая и сильно топорщится. Рукава широкие. Короче пошив не очень и это мягко сказано. Чистая синтетика самая дешёвая. Мне не нравится.,одежда
не по размеру,одежда
"ТОВАР НЕ ПОЛУЧИЛА , ПРОДОВЕЦ НЕ ХОЧЕТ ОБЩАТЬСЯ , ДЕНЕГ СВОИХ НЕ МОГУ ВЕРНУТЬ . У ЭТОГО ПРОДОВЦА НЕ ЗАКАЗЫВАЙТЕ  НЕ ТОВАРА НЕ ДЕНЕГ .",нет товара
"описание точное. Качеством довольна: кофточка приятна телу, мягкая, на мой 44 размер села просто замечательно. Время доставки - почти месяц.",одежда
"ничего не пришло,  совсем забыла о данном заказе.Вышлите или верните деньги",нет товара
Отличные штанишки. Только доставка долгая.,одежда
Товар пришёл менее чем за месяц. На мой 44 заказала L пришла необъятных размеров  ,одежда
"товар не пришел деньги не вернули , продавец обманывает ни первый раз уже, ничего не заказывайте, это обман у этого продавца",нет товара
размер несоответствующий,одежда
"жилетка пришла короткая и широкая, бесформенная, совсем не как на фото",одежда
https://m.itao.com/detail/show.htm?postId=3000006674831467&lang=ru написала подробный отзыв об этом свитере!) много фото ,одежда
"До Москвы 2,5 недели. Далеко не толстовка, материал не много просвечивается. Но качеством осталась довольна. В принципе по размеру. Рекомендую",одежда
заказ так и не пришёл,нет товара
очень мал. 4xl на 46-48 размер,одежда
"Не точное описание,пришла толстовка, подобие пальто",одежда
"цвет темнее чем на картинке,а так свитер хороший тёплый",одежда
Платье не пришло. Спор  открыть не могу. Заказ якобы завершен. Что делать в этом случае?,нет товара
"Всё подошло)) На параметры: 83/60/89 (рост 156 см.) брала XS. Коротенькое, легкое и приятное к телу платье)) Спасибо))) ",одежда
"4 месяца прошло так и не получила кофту,причём уже второй раз такое,первый раз заказала Ее же и не пришла,история повторилась снова,доставка просто никакая",нет товара
ПОСЫЛКА ПРИШЛА БЫСТРО. КОФТА XL ПОДХОДИТ НАС 44 РОС. РАЗМЕР. ЕСТЬ СИЛЬНЫЙ ЗАПАХ.ЗА БЫСТРОТУ СПАСИБО.,одежда
"В целом качество костюма устроило.Сняла звезду,за то,что прислали не тот цвет,который заказывала.",одежда
"Заказала 14 мая. 10 августа открыла спор, так как товар не был отправлен из за проблем с доставкой. Попросила вернуть деньги. Жду. ",нет товара
"так себе,отлепляется спокойно на 1 день носки",одежда
"Товар не соответствует. Нет меха на воротнике,нет карманов клапонов.  В нескольных местах грязные,ржавые пятна. шнурок черного цвета без пряжечков. Нитки торчат по всей курти так как плохо простроченны.",одежда
